created_at,entry_id,PIR,IR,Color Code,Alert
2025-06-09T09:06:12+00:00,1,1,1,1,0
2025-06-09T09:06:14+00:00,2,1,1,1,0
2025-06-09T09:06:32+00:00,3,1,1,1,0
2025-06-09T09:06:33+00:00,4,1,1,1,0
2025-06-09T09:06:54+00:00,5,1,0,0,1
2025-06-09T09:06:55+00:00,6,1,0,0,1
2025-06-09T09:07:14+00:00,7,1,1,3,0
2025-06-09T09:07:15+00:00,8,1,1,3,0
2025-06-09T09:07:33+00:00,9,1,1,3,0
2025-06-09T09:07:34+00:00,10,1,1,3,0
2025-06-09T09:07:53+00:00,11,1,1,3,0
2025-06-09T09:07:54+00:00,12,1,1,3,0
2025-06-09T09:08:12+00:00,13,1,0,0,1
2025-06-09T09:08:13+00:00,14,1,0,0,1
2025-06-09T09:08:31+00:00,15,1,0,0,1
2025-06-09T09:08:32+00:00,16,1,0,0,1
2025-06-09T09:08:50+00:00,17,1,1,1,0
2025-06-09T09:08:51+00:00,18,1,1,1,0
2025-06-09T09:09:10+00:00,19,1,1,1,0
2025-06-09T09:09:11+00:00,20,1,1,1,0
2025-06-09T09:09:29+00:00,21,1,0,0,1
2025-06-09T09:09:30+00:00,22,1,0,0,1
2025-06-09T09:09:49+00:00,23,0,0,0,0
2025-06-09T09:09:50+00:00,24,0,0,0,0
2025-06-09T09:10:08+00:00,25,1,0,0,1
2025-06-09T09:10:09+00:00,26,1,0,0,1
2025-06-09T09:10:27+00:00,27,1,0,0,1
2025-06-09T09:10:28+00:00,28,1,0,0,1
2025-06-09T09:10:46+00:00,29,1,0,0,1
2025-06-09T09:10:47+00:00,30,1,0,0,1
2025-06-09T09:11:06+00:00,31,1,0,0,1
2025-06-09T09:11:25+00:00,32,1,0,0,1
2025-06-09T09:11:26+00:00,33,1,0,0,1
2025-06-09T09:11:44+00:00,34,1,0,0,1
2025-06-09T09:11:45+00:00,35,1,0,0,1
2025-06-09T09:12:03+00:00,36,1,0,0,1
2025-06-09T09:12:04+00:00,37,1,0,0,1
2025-06-09T09:12:24+00:00,38,1,0,0,1
2025-06-09T09:12:25+00:00,39,1,0,0,1
2025-06-09T09:12:43+00:00,40,1,0,0,1
2025-06-09T09:12:44+00:00,41,1,0,0,1
2025-06-09T09:13:02+00:00,42,1,0,0,1
2025-06-09T09:13:03+00:00,43,1,0,0,1
2025-06-09T09:13:20+00:00,44,1,0,0,1
2025-06-09T09:13:21+00:00,45,1,0,0,1
2025-06-09T09:13:40+00:00,46,1,0,0,1
2025-06-09T09:13:41+00:00,47,1,0,0,1
2025-06-09T09:13:59+00:00,48,1,0,0,1
2025-06-09T09:14:00+00:00,49,1,0,0,1
2025-06-09T09:14:19+00:00,50,1,0,0,1
2025-06-09T09:14:22+00:00,51,1,0,0,1
2025-06-09T09:14:40+00:00,52,1,0,0,1
2025-06-09T09:14:41+00:00,53,1,0,0,1
2025-06-09T09:15:01+00:00,54,1,0,0,1
2025-06-09T09:15:02+00:00,55,1,0,0,1
2025-06-09T09:15:20+00:00,56,1,0,0,1
2025-06-09T09:15:21+00:00,57,1,0,0,1
2025-06-09T09:15:39+00:00,58,1,0,0,1
2025-06-09T09:15:40+00:00,59,1,0,0,1
2025-06-09T09:15:59+00:00,60,1,0,0,1
2025-06-09T09:16:00+00:00,61,1,0,0,1
2025-06-09T09:16:20+00:00,62,1,0,0,1
2025-06-09T09:16:23+00:00,63,1,0,0,1
2025-06-09T09:16:41+00:00,64,1,0,0,1
2025-06-09T09:16:42+00:00,65,1,0,0,1
2025-06-09T09:17:00+00:00,66,1,1,2,0
2025-06-09T09:17:01+00:00,67,1,1,2,0
2025-06-09T09:17:19+00:00,68,1,1,1,0
2025-06-09T09:17:20+00:00,69,1,1,1,0
2025-06-09T09:17:37+00:00,70,1,1,1,0
2025-06-09T09:17:38+00:00,71,1,1,1,0
2025-06-09T09:17:56+00:00,72,1,1,3,0
2025-06-09T09:17:57+00:00,73,1,1,3,0
2025-06-09T09:18:15+00:00,74,1,1,1,0
2025-06-09T09:18:16+00:00,75,1,1,1,0
2025-06-09T09:18:34+00:00,76,1,1,2,0
2025-06-09T09:18:53+00:00,77,0,1,1,0
2025-06-09T09:19:11+00:00,78,0,1,1,0
2025-06-09T09:19:12+00:00,79,0,1,1,0
2025-06-09T09:19:30+00:00,80,1,0,0,1
2025-06-09T09:19:49+00:00,81,1,0,0,1
2025-06-09T09:19:50+00:00,82,1,0,0,1
2025-06-09T09:20:08+00:00,83,1,0,0,1
2025-06-09T09:20:09+00:00,84,1,0,0,1
2025-06-09T09:20:27+00:00,85,1,0,0,1
2025-06-09T09:20:28+00:00,86,1,0,0,1
2025-06-09T09:20:46+00:00,87,1,0,0,1
2025-06-09T09:20:47+00:00,88,1,0,0,1
2025-06-09T09:21:06+00:00,89,1,1,1,0
2025-06-09T09:21:25+00:00,90,1,0,0,1
2025-06-09T09:21:44+00:00,91,1,0,0,1
2025-06-09T09:22:03+00:00,92,1,0,0,1
2025-06-09T09:22:04+00:00,93,1,0,0,1
2025-06-09T09:22:22+00:00,94,0,0,0,0
2025-06-09T09:22:23+00:00,95,0,0,0,0
2025-06-09T09:22:41+00:00,96,0,0,0,0
2025-06-09T09:22:42+00:00,97,0,0,0,0
2025-06-09T09:23:00+00:00,98,0,0,0,0
2025-06-09T09:23:01+00:00,99,0,0,0,0
2025-06-09T09:23:20+00:00,100,1,0,0,1
2025-06-09T09:23:21+00:00,101,1,0,0,1
2025-06-09T09:23:39+00:00,102,1,0,0,1
2025-06-09T09:23:40+00:00,103,1,0,0,1
2025-06-09T09:23:58+00:00,104,1,0,0,1
2025-06-09T09:23:59+00:00,105,1,0,0,1
2025-06-09T09:24:17+00:00,106,1,0,0,1
2025-06-09T09:24:18+00:00,107,1,0,0,1
2025-06-09T09:24:36+00:00,108,1,0,0,1
2025-06-09T09:24:37+00:00,109,1,0,0,1
2025-06-09T09:24:55+00:00,110,1,0,0,1
2025-06-09T09:25:14+00:00,111,1,0,0,1
2025-06-09T09:25:33+00:00,112,1,0,0,1
2025-06-09T09:25:34+00:00,113,1,0,0,1
2025-06-09T09:25:52+00:00,114,1,0,0,1
2025-06-09T09:25:53+00:00,115,1,0,0,1
2025-06-09T09:26:12+00:00,116,0,0,0,0
2025-06-09T09:26:13+00:00,117,0,0,0,0
2025-06-09T09:26:31+00:00,118,1,1,2,0
2025-06-09T09:26:32+00:00,119,1,1,2,0
2025-06-09T09:26:49+00:00,120,1,0,0,1
2025-06-09T09:26:50+00:00,121,1,0,0,1
2025-06-09T09:27:09+00:00,122,1,0,0,1
2025-06-09T09:27:10+00:00,123,1,0,0,1
2025-06-09T09:27:28+00:00,124,1,0,0,1
2025-06-09T09:27:47+00:00,125,1,0,0,1
2025-06-09T09:27:48+00:00,126,1,0,0,1
2025-06-09T09:28:05+00:00,127,1,0,0,1
2025-06-09T09:28:06+00:00,128,1,0,0,1
2025-06-09T09:28:24+00:00,129,1,0,0,1
2025-06-09T09:28:25+00:00,130,1,0,0,1
2025-06-09T09:28:43+00:00,131,1,0,0,1
2025-06-09T09:28:44+00:00,132,1,0,0,1
2025-06-09T09:29:03+00:00,133,1,0,0,1
2025-06-09T09:29:22+00:00,134,0,0,0,0
2025-06-09T09:29:23+00:00,135,0,0,0,0
2025-06-09T09:29:41+00:00,136,0,0,0,0
2025-06-09T09:29:42+00:00,137,0,0,0,0
2025-06-09T09:30:00+00:00,138,0,0,0,0
2025-06-09T09:30:01+00:00,139,0,0,0,0
2025-06-09T09:30:19+00:00,140,1,0,0,1
2025-06-09T09:30:20+00:00,141,1,0,0,1
2025-06-09T09:30:38+00:00,142,1,0,0,1
2025-06-09T09:30:39+00:00,143,1,0,0,1
2025-06-09T09:30:57+00:00,144,1,0,0,1
2025-06-09T09:31:15+00:00,145,1,0,0,1
2025-06-09T09:31:16+00:00,146,1,0,0,1
2025-06-09T09:31:34+00:00,147,1,0,0,1
2025-06-09T09:31:35+00:00,148,1,0,0,1
2025-06-09T09:31:53+00:00,149,1,0,0,1
2025-06-09T09:31:54+00:00,150,1,0,0,1
2025-06-09T09:32:12+00:00,151,1,0,0,1
2025-06-09T09:32:13+00:00,152,1,0,0,1
2025-06-09T09:32:31+00:00,153,1,0,0,1
2025-06-09T09:32:32+00:00,154,1,0,0,1
2025-06-09T09:32:49+00:00,155,1,0,0,1
2025-06-09T09:32:50+00:00,156,1,0,0,1
2025-06-09T09:33:08+00:00,157,0,0,0,0
2025-06-09T09:33:09+00:00,158,0,0,0,0
2025-06-09T09:33:27+00:00,159,1,0,0,1
2025-06-09T09:33:45+00:00,160,1,0,0,1
2025-06-09T09:33:46+00:00,161,1,0,0,1
2025-06-09T09:34:05+00:00,162,1,0,0,1
2025-06-09T09:34:06+00:00,163,1,0,0,1
2025-06-09T09:34:23+00:00,164,1,0,0,1
2025-06-09T09:34:25+00:00,165,1,0,0,1
2025-06-09T09:34:45+00:00,166,1,0,0,1
2025-06-09T09:34:46+00:00,167,1,0,0,1
2025-06-09T09:35:04+00:00,168,1,0,0,1
2025-06-09T09:35:05+00:00,169,1,0,0,1
2025-06-09T09:35:23+00:00,170,1,0,0,1
2025-06-09T09:35:24+00:00,171,1,0,0,1
2025-06-09T09:35:44+00:00,172,1,0,0,1
2025-06-09T09:35:46+00:00,173,1,0,0,1
2025-06-09T09:36:06+00:00,174,1,1,3,0
2025-06-09T09:36:07+00:00,175,1,1,3,0
2025-06-09T09:36:25+00:00,176,0,1,1,0
2025-06-09T09:36:27+00:00,177,0,1,1,0
2025-06-09T09:36:44+00:00,178,0,1,2,0
2025-06-09T09:36:45+00:00,179,0,1,2,0
2025-06-09T09:37:03+00:00,180,1,1,3,0
2025-06-09T09:37:04+00:00,181,1,1,3,0
2025-06-09T09:37:22+00:00,182,1,1,3,0
2025-06-09T09:37:23+00:00,183,1,1,3,0
2025-06-09T09:37:42+00:00,184,1,1,1,0
2025-06-09T09:37:43+00:00,185,1,1,1,0
2025-06-09T09:38:03+00:00,186,1,0,0,1
2025-06-09T09:38:04+00:00,187,1,0,0,1
2025-06-09T09:38:24+00:00,188,1,0,0,1
2025-06-09T09:38:44+00:00,189,1,0,0,1
2025-06-09T09:39:03+00:00,190,1,0,0,1
2025-06-09T09:39:04+00:00,191,1,0,0,1
2025-06-09T09:39:23+00:00,192,1,0,0,1
2025-06-09T09:39:24+00:00,193,1,0,0,1
2025-06-09T09:39:43+00:00,194,1,0,0,1
2025-06-09T09:39:44+00:00,195,1,0,0,1
2025-06-09T09:40:02+00:00,196,0,0,0,0
2025-06-09T09:40:04+00:00,197,0,0,0,0
2025-06-09T09:40:22+00:00,198,1,0,0,1
2025-06-09T09:40:25+00:00,199,1,0,0,1
2025-06-09T09:40:42+00:00,200,1,0,0,1
2025-06-09T09:40:43+00:00,201,1,0,0,1
2025-06-09T09:41:01+00:00,202,1,0,0,1
2025-06-09T09:41:02+00:00,203,1,0,0,1
2025-06-09T09:41:21+00:00,204,1,0,0,1
2025-06-09T09:41:22+00:00,205,1,0,0,1
2025-06-09T09:41:42+00:00,206,1,0,0,1
2025-06-09T09:42:01+00:00,207,1,0,0,1
2025-06-09T09:42:02+00:00,208,1,0,0,1
2025-06-09T09:42:19+00:00,209,1,0,0,1
2025-06-09T09:42:20+00:00,210,1,0,0,1
2025-06-09T09:42:41+00:00,211,1,0,0,1
2025-06-09T09:42:43+00:00,212,1,0,0,1
2025-06-09T09:43:10+00:00,213,0,0,0,0
2025-06-09T09:43:12+00:00,214,0,0,0,0
2025-06-09T09:43:42+00:00,215,0,0,0,0
2025-06-09T09:43:43+00:00,216,0,0,0,0
2025-06-09T09:44:01+00:00,217,1,0,0,1
2025-06-09T09:44:02+00:00,218,1,0,0,1
2025-06-09T09:44:20+00:00,219,1,0,0,1
2025-06-09T09:44:21+00:00,220,1,0,0,1
2025-06-09T09:44:39+00:00,221,1,0,0,1
2025-06-09T09:44:40+00:00,222,1,0,0,1
2025-06-09T09:44:59+00:00,223,1,0,0,1
2025-06-09T09:45:00+00:00,224,1,0,0,1
2025-06-09T09:45:21+00:00,225,1,0,0,1
2025-06-09T09:45:22+00:00,226,1,0,0,1
2025-06-09T09:45:41+00:00,227,1,0,0,1
2025-06-09T09:45:42+00:00,228,1,0,0,1
2025-06-09T09:46:01+00:00,229,1,0,0,1
2025-06-09T09:46:02+00:00,230,1,0,0,1
2025-06-09T09:46:20+00:00,231,1,0,0,1
2025-06-09T09:46:39+00:00,232,0,0,0,0
2025-06-09T09:46:40+00:00,233,0,0,0,0
2025-06-09T09:46:59+00:00,234,1,0,0,1
2025-06-09T09:47:17+00:00,235,1,0,0,1
2025-06-09T09:47:18+00:00,236,1,0,0,1
2025-06-09T09:47:36+00:00,237,1,0,0,1
2025-06-09T09:47:37+00:00,238,1,0,0,1
2025-06-09T09:47:56+00:00,239,1,0,0,1
2025-06-09T09:48:15+00:00,240,1,0,0,1
2025-06-09T09:48:16+00:00,241,1,0,0,1
2025-06-09T09:48:34+00:00,242,1,0,0,1
2025-06-09T09:48:35+00:00,243,1,0,0,1
2025-06-09T09:48:53+00:00,244,1,0,0,1
2025-06-09T09:48:54+00:00,245,1,0,0,1
2025-06-09T09:49:12+00:00,246,1,0,0,1
2025-06-09T09:49:33+00:00,247,1,0,0,1
2025-06-09T09:49:52+00:00,248,0,0,0,0
2025-06-09T09:50:13+00:00,249,0,0,0,0
2025-06-09T09:50:14+00:00,250,0,0,0,0
2025-06-09T09:50:32+00:00,251,0,0,0,0
2025-06-09T09:50:33+00:00,252,0,0,0,0
2025-06-09T09:50:50+00:00,253,0,0,0,0
2025-06-09T09:50:51+00:00,254,0,0,0,0
2025-06-09T09:51:09+00:00,255,0,0,0,0
2025-06-09T09:51:10+00:00,256,0,0,0,0
2025-06-09T09:51:28+00:00,257,0,0,0,0
2025-06-09T09:51:29+00:00,258,0,0,0,0
2025-06-09T09:51:47+00:00,259,0,0,0,0
2025-06-09T09:51:48+00:00,260,0,0,0,0
2025-06-09T09:52:06+00:00,261,0,0,0,0
2025-06-09T09:52:07+00:00,262,0,0,0,0
2025-06-09T09:52:25+00:00,263,0,0,0,0
2025-06-09T09:52:26+00:00,264,0,0,0,0
2025-06-09T09:52:45+00:00,265,0,0,0,0
2025-06-09T09:53:04+00:00,266,0,0,0,0
2025-06-09T09:53:05+00:00,267,0,0,0,0
2025-06-09T09:53:23+00:00,268,1,0,0,1
2025-06-09T09:53:25+00:00,269,1,0,0,1
2025-06-09T09:53:43+00:00,270,1,0,0,1
2025-06-09T09:53:44+00:00,271,1,0,0,1
2025-06-09T09:54:03+00:00,272,1,0,0,1
2025-06-09T09:54:22+00:00,273,1,0,0,1
2025-06-09T09:54:41+00:00,274,1,0,0,1
2025-06-09T09:54:42+00:00,275,1,0,0,1
2025-06-09T09:55:03+00:00,276,1,0,0,1
2025-06-09T09:55:23+00:00,277,1,0,0,1
2025-06-09T09:55:42+00:00,278,1,0,0,1
2025-06-09T09:55:43+00:00,279,1,0,0,1
2025-06-09T09:56:03+00:00,280,1,0,0,1
2025-06-09T09:56:04+00:00,281,1,0,0,1
2025-06-09T09:56:23+00:00,282,0,0,0,0
2025-06-09T09:56:24+00:00,283,0,0,0,0
2025-06-09T09:56:42+00:00,284,0,0,0,0
2025-06-09T09:56:44+00:00,285,0,0,0,0
2025-06-09T09:57:04+00:00,286,0,0,0,0
2025-06-09T09:57:05+00:00,287,0,0,0,0
2025-06-09T09:57:25+00:00,288,0,0,0,0
2025-06-09T09:57:28+00:00,289,0,0,0,0
2025-06-09T09:57:46+00:00,290,0,0,0,0
2025-06-09T09:57:47+00:00,291,0,0,0,0
2025-06-09T09:58:06+00:00,292,0,0,0,0
2025-06-09T09:58:07+00:00,293,0,0,0,0
2025-06-09T09:58:27+00:00,294,1,0,0,1
2025-06-09T09:58:46+00:00,295,1,0,0,1
2025-06-09T09:59:05+00:00,296,1,0,0,1
2025-06-09T09:59:06+00:00,297,1,0,0,1
2025-06-09T09:59:25+00:00,298,1,0,0,1
2025-06-09T09:59:26+00:00,299,1,0,0,1
2025-06-09T09:59:43+00:00,300,1,0,0,1
2025-06-09T09:59:44+00:00,301,1,0,0,1
2025-06-09T10:00:03+00:00,302,1,0,0,1
2025-06-09T10:00:04+00:00,303,1,0,0,1
2025-06-09T10:00:21+00:00,304,1,0,0,1
2025-06-09T10:00:22+00:00,305,1,0,0,1
2025-06-09T10:00:40+00:00,306,1,0,0,1
2025-06-09T10:00:41+00:00,307,1,0,0,1
2025-06-09T10:01:03+00:00,308,1,0,0,1
2025-06-09T10:01:04+00:00,309,1,0,0,1
2025-06-09T10:01:22+00:00,310,0,0,0,0
2025-06-09T10:01:23+00:00,311,0,0,0,0
2025-06-09T10:01:41+00:00,312,0,0,0,0
2025-06-09T10:01:42+00:00,313,0,0,0,0
2025-06-09T10:02:02+00:00,314,0,0,0,0
2025-06-09T10:02:20+00:00,315,0,0,0,0
2025-06-09T10:02:21+00:00,316,0,0,0,0
2025-06-09T10:02:39+00:00,317,0,0,0,0
2025-06-09T10:02:40+00:00,318,0,0,0,0
2025-06-09T10:02:58+00:00,319,0,0,0,0
2025-06-09T10:02:59+00:00,320,0,0,0,0
2025-06-09T10:03:17+00:00,321,1,0,0,1
2025-06-09T10:03:18+00:00,322,1,0,0,1
2025-06-09T10:03:36+00:00,323,1,0,0,1
2025-06-09T10:03:55+00:00,324,1,0,0,1
2025-06-09T10:03:56+00:00,325,1,0,0,1
2025-06-09T10:04:14+00:00,326,1,0,0,1
2025-06-09T10:04:15+00:00,327,1,0,0,1
2025-06-09T10:04:32+00:00,328,1,0,0,1
2025-06-09T10:04:33+00:00,329,1,0,0,1
2025-06-09T10:04:51+00:00,330,1,0,0,1
2025-06-09T10:04:52+00:00,331,1,0,0,1
2025-06-09T10:05:14+00:00,332,1,0,0,1
2025-06-09T10:05:15+00:00,333,1,0,0,1
2025-06-09T10:05:33+00:00,334,1,0,0,1
2025-06-09T10:05:34+00:00,335,1,0,0,1
2025-06-09T10:05:53+00:00,336,1,0,0,1
2025-06-09T10:05:54+00:00,337,1,0,0,1
2025-06-09T10:06:13+00:00,338,0,0,0,0
2025-06-09T10:06:14+00:00,339,0,0,0,0
2025-06-09T10:06:33+00:00,340,0,0,0,0
2025-06-09T10:06:34+00:00,341,0,0,0,0
2025-06-09T10:06:53+00:00,342,0,0,0,0
2025-06-09T10:06:54+00:00,343,0,0,0,0
2025-06-09T10:07:12+00:00,344,1,0,0,1
2025-06-09T10:07:13+00:00,345,1,0,0,1
2025-06-09T10:07:30+00:00,346,1,0,0,1
2025-06-09T10:07:31+00:00,347,1,0,0,1
2025-06-09T10:07:50+00:00,348,1,0,0,1
2025-06-09T10:07:51+00:00,349,1,0,0,1
2025-06-09T10:08:10+00:00,350,1,0,0,1
2025-06-09T10:08:11+00:00,351,1,0,0,1
2025-06-09T10:08:33+00:00,352,1,0,0,1
2025-06-09T10:08:34+00:00,353,1,0,0,1
2025-06-09T10:08:53+00:00,354,1,0,0,1
2025-06-09T10:09:13+00:00,355,1,0,0,1
2025-06-09T10:09:32+00:00,356,1,0,0,1
2025-06-09T10:09:33+00:00,357,1,0,0,1
2025-06-09T10:09:51+00:00,358,1,0,0,1
2025-06-09T10:09:52+00:00,359,1,0,0,1
2025-06-09T10:10:10+00:00,360,1,0,0,1
2025-06-09T10:10:13+00:00,361,1,0,0,1
2025-06-09T10:10:33+00:00,362,1,0,0,1
2025-06-09T10:10:34+00:00,363,1,0,0,1
2025-06-09T10:10:52+00:00,364,1,0,0,1
2025-06-09T10:11:12+00:00,365,1,0,0,1
2025-06-09T10:11:13+00:00,366,1,0,0,1
2025-06-09T10:11:32+00:00,367,1,0,0,1
2025-06-09T10:11:33+00:00,368,1,0,0,1
2025-06-09T10:11:54+00:00,369,1,0,0,1
2025-06-09T10:11:55+00:00,370,1,0,0,1
2025-06-09T10:12:16+00:00,371,1,0,0,1
2025-06-09T10:12:17+00:00,372,1,0,0,1
2025-06-09T10:12:37+00:00,373,1,0,0,1
2025-06-09T10:12:56+00:00,374,1,0,0,1
2025-06-09T10:13:00+00:00,375,1,0,0,1
2025-06-09T10:13:18+00:00,376,1,1,1,0
2025-06-09T10:13:37+00:00,377,1,1,1,0
2025-06-09T10:13:38+00:00,378,1,1,1,0
2025-06-09T10:13:56+00:00,379,1,1,3,0
2025-06-09T10:13:57+00:00,380,1,1,3,0
2025-06-09T10:14:16+00:00,381,1,1,3,0
2025-06-09T10:14:34+00:00,382,1,1,1,0
2025-06-09T10:14:35+00:00,383,1,1,1,0
2025-06-09T10:14:53+00:00,384,1,1,2,0
2025-06-09T10:14:55+00:00,385,1,1,2,0
2025-06-09T10:15:13+00:00,386,1,1,2,0
2025-06-09T10:15:14+00:00,387,1,1,2,0
2025-06-09T10:15:35+00:00,388,1,1,2,0
2025-06-09T10:15:36+00:00,389,1,1,2,0
2025-06-09T10:15:54+00:00,390,1,1,3,0
2025-06-09T10:15:55+00:00,391,1,1,3,0
2025-06-09T10:16:14+00:00,392,1,1,3,0
2025-06-09T10:16:15+00:00,393,1,1,3,0
2025-06-09T10:16:33+00:00,394,1,0,0,1
2025-06-09T10:16:34+00:00,395,1,0,0,1
2025-06-09T10:16:52+00:00,396,1,0,0,1
2025-06-09T10:16:53+00:00,397,1,0,0,1
2025-06-09T10:17:11+00:00,398,1,1,3,0
2025-06-09T10:17:30+00:00,399,1,1,1,0
2025-06-09T10:17:49+00:00,400,1,1,3,0
2025-06-09T10:18:09+00:00,401,1,1,3,0
